month,01_Adoption_Programs,01_Wallet_Incentive_Pool,02_Long-Term_Reserve,03_Foundation_Treasury,04_Builder_&_Partner_Grants,05_Personnel,06_Early_Backers_Escrow,07_Founders_Escrow,09_Contingency_Reserve,10_Public_Sector_Programs,12_Node_Operations,unlocked_total_qdn,circulating_qdn,minted_supply_qdn,circulating_bps_of_supply
0,999000000,1000000,0,56000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2896000000,56110100,4000000000,140
1,999000000,1000000,5000000,63000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2908000000,56110100,4003333333,140
2,999000000,1000000,10000000,70000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2920000000,56110100,4006669444,140
3,999000000,1000000,15000000,77000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2932000000,56110100,4010008335,139
4,999000000,1000000,20000000,84000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2944000000,56110100,4013350009,139
5,999000000,1000000,25000000,91000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2956000000,56110100,4016694467,139
6,999000000,1000000,30000000,98000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2968000000,56110100,4020041712,139
7,999000000,1000000,35000000,105000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2980000000,56110100,4023391747,139
8,999000000,1000000,40000000,112000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,2992000000,56110100,4026744574,139
9,999000000,1000000,45000000,119000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3004000000,56110100,4030100194,139
10,999000000,1000000,50000000,126000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3016000000,56110100,4033458611,139
11,999000000,1000000,55000000,133000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3028000000,56110100,4036819827,138
12,999000000,1000000,60000000,140000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3040000000,56110100,4040183843,138
13,999000000,1000000,65000000,147000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3052000000,56110100,4043550663,138
14,999000000,1000000,70000000,154000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3064000000,56110100,4046920288,138
15,999000000,1000000,75000000,161000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3076000000,56110100,4050292722,138
16,999000000,1000000,80000000,168000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3088000000,56110100,4053667966,138
17,999000000,1000000,85000000,175000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3100000000,56110100,4057046023,138
